973,569,1031-730#1312-676#1081-523#874-595#712-409#1094-368
1312,676,1677-569#1719-869#1031-730#1117-858#924-417#1227-483#1357-717
911,510,1094-368#874-595#973-569#924-417#768-497#576-447
768,497,874-595#587-639
1357,717,1117-858#1192-945
1081,523,1227-483#1146-577#1117-858#1094-368
1146,577,1031-730#1227-483
874,595,929-823#587-639#1031-730
929,823
265,406
375,271
1719,869
194,176
291,185
692,192
518,315
576,447
924,417
712,409
1031,730,1117-858#929-823#1004-957
1117,858
1192,945
1004,957
587,639
469,519
345,490
367,678
183,577
141,707
1227,483
1677,569
1523,397
1819,621
1794,421
1886,539
1587,241
1142,127
1256,94
1539,49
1884,208
235,807
589,235
898,256
1094,368
798,80
448,31
